date_requested,from_utc,to_utc,forecast_gco2_per_kwh,actual_gco2_per_kwh,index,from_uk,to_uk,date_uk,hour_uk,time_uk
2026-06-23,2026-06-23 04:00:00+00:00,2026-06-23 04:30:00+00:00,219,222,high,2026-06-23 05:00:00+01:00,2026-06-23 05:30:00+01:00,2026-06-23,5,05:00:00
2026-06-23,2026-06-23 04:30:00+00:00,2026-06-23 05:00:00+00:00,227,214,high,2026-06-23 05:30:00+01:00,2026-06-23 06:00:00+01:00,2026-06-23,5,05:30:00
2026-06-23,2026-06-23 05:00:00+00:00,2026-06-23 05:30:00+00:00,225,207,high,2026-06-23 06:00:00+01:00,2026-06-23 06:30:00+01:00,2026-06-23,6,06:00:00
2026-06-23,2026-06-23 05:30:00+00:00,2026-06-23 06:00:00+00:00,215,195,high,2026-06-23 06:30:00+01:00,2026-06-23 07:00:00+01:00,2026-06-23,6,06:30:00
2026-06-23,2026-06-23 06:00:00+00:00,2026-06-23 06:30:00+00:00,202,192,high,2026-06-23 07:00:00+01:00,2026-06-23 07:30:00+01:00,2026-06-23,7,07:00:00
2026-06-23,2026-06-23 06:30:00+00:00,2026-06-23 07:00:00+00:00,192,175,high,2026-06-23 07:30:00+01:00,2026-06-23 08:00:00+01:00,2026-06-23,7,07:30:00
2026-06-23,2026-06-23 07:00:00+00:00,2026-06-23 07:30:00+00:00,181,164,moderate,2026-06-23 08:00:00+01:00,2026-06-23 08:30:00+01:00,2026-06-23,8,08:00:00
2026-06-23,2026-06-23 07:30:00+00:00,2026-06-23 08:00:00+00:00,169,150,moderate,2026-06-23 08:30:00+01:00,2026-06-23 09:00:00+01:00,2026-06-23,8,08:30:00
2026-06-23,2026-06-23 08:00:00+00:00,2026-06-23 08:30:00+00:00,157,136,moderate,2026-06-23 09:00:00+01:00,2026-06-23 09:30:00+01:00,2026-06-23,9,09:00:00
2026-06-23,2026-06-23 08:30:00+00:00,2026-06-23 09:00:00+00:00,142,135,moderate,2026-06-23 09:30:00+01:00,2026-06-23 10:00:00+01:00,2026-06-23,9,09:30:00
2026-06-23,2026-06-23 09:00:00+00:00,2026-06-23 09:30:00+00:00,128,130,moderate,2026-06-23 10:00:00+01:00,2026-06-23 10:30:00+01:00,2026-06-23,10,10:00:00
2026-06-23,2026-06-23 09:30:00+00:00,2026-06-23 10:00:00+00:00,127,128,moderate,2026-06-23 10:30:00+01:00,2026-06-23 11:00:00+01:00,2026-06-23,10,10:30:00
2026-06-23,2026-06-23 10:00:00+00:00,2026-06-23 10:30:00+00:00,128,122,moderate,2026-06-23 11:00:00+01:00,2026-06-23 11:30:00+01:00,2026-06-23,11,11:00:00
2026-06-23,2026-06-23 10:30:00+00:00,2026-06-23 11:00:00+00:00,122,111,moderate,2026-06-23 11:30:00+01:00,2026-06-23 12:00:00+01:00,2026-06-23,11,11:30:00
2026-06-23,2026-06-23 11:00:00+00:00,2026-06-23 11:30:00+00:00,121,107,moderate,2026-06-23 12:00:00+01:00,2026-06-23 12:30:00+01:00,2026-06-23,12,12:00:00
2026-06-23,2026-06-23 11:30:00+00:00,2026-06-23 12:00:00+00:00,108,115,moderate,2026-06-23 12:30:00+01:00,2026-06-23 13:00:00+01:00,2026-06-23,12,12:30:00
2026-06-23,2026-06-23 12:00:00+00:00,2026-06-23 12:30:00+00:00,107,115,moderate,2026-06-23 13:00:00+01:00,2026-06-23 13:30:00+01:00,2026-06-23,13,13:00:00
2026-06-23,2026-06-23 12:30:00+00:00,2026-06-23 13:00:00+00:00,111,118,moderate,2026-06-23 13:30:00+01:00,2026-06-23 14:00:00+01:00,2026-06-23,13,13:30:00
2026-06-23,2026-06-23 13:00:00+00:00,2026-06-23 13:30:00+00:00,113,118,moderate,2026-06-23 14:00:00+01:00,2026-06-23 14:30:00+01:00,2026-06-23,14,14:00:00
2026-06-23,2026-06-23 13:30:00+00:00,2026-06-23 14:00:00+00:00,111,125,moderate,2026-06-23 14:30:00+01:00,2026-06-23 15:00:00+01:00,2026-06-23,14,14:30:00
2026-06-23,2026-06-23 14:00:00+00:00,2026-06-23 14:30:00+00:00,109,127,moderate,2026-06-23 15:00:00+01:00,2026-06-23 15:30:00+01:00,2026-06-23,15,15:00:00
2026-06-23,2026-06-23 14:30:00+00:00,2026-06-23 15:00:00+00:00,111,140,moderate,2026-06-23 15:30:00+01:00,2026-06-23 16:00:00+01:00,2026-06-23,15,15:30:00
2026-06-23,2026-06-23 15:00:00+00:00,2026-06-23 15:30:00+00:00,115,153,moderate,2026-06-23 16:00:00+01:00,2026-06-23 16:30:00+01:00,2026-06-23,16,16:00:00
2026-06-23,2026-06-23 15:30:00+00:00,2026-06-23 16:00:00+00:00,118,161,moderate,2026-06-23 16:30:00+01:00,2026-06-23 17:00:00+01:00,2026-06-23,16,16:30:00
2026-06-23,2026-06-23 16:00:00+00:00,2026-06-23 16:30:00+00:00,129,171,high,2026-06-23 17:00:00+01:00,2026-06-23 17:30:00+01:00,2026-06-23,17,17:00:00
2026-06-23,2026-06-23 16:30:00+00:00,2026-06-23 17:00:00+00:00,173,185,high,2026-06-23 17:30:00+01:00,2026-06-23 18:00:00+01:00,2026-06-23,17,17:30:00
2026-06-23,2026-06-23 17:00:00+00:00,2026-06-23 17:30:00+00:00,176,198,high,2026-06-23 18:00:00+01:00,2026-06-23 18:30:00+01:00,2026-06-23,18,18:00:00
2026-06-23,2026-06-23 17:30:00+00:00,2026-06-23 18:00:00+00:00,191,210,high,2026-06-23 18:30:00+01:00,2026-06-23 19:00:00+01:00,2026-06-23,18,18:30:00
2026-06-23,2026-06-23 18:00:00+00:00,2026-06-23 18:30:00+00:00,198,216,high,2026-06-23 19:00:00+01:00,2026-06-23 19:30:00+01:00,2026-06-23,19,19:00:00
2026-06-23,2026-06-23 18:30:00+00:00,2026-06-23 19:00:00+00:00,205,218,high,2026-06-23 19:30:00+01:00,2026-06-23 20:00:00+01:00,2026-06-23,19,19:30:00
2026-06-23,2026-06-23 19:00:00+00:00,2026-06-23 19:30:00+00:00,209,218,high,2026-06-23 20:00:00+01:00,2026-06-23 20:30:00+01:00,2026-06-23,20,20:00:00
2026-06-23,2026-06-23 19:30:00+00:00,2026-06-23 20:00:00+00:00,215,224,high,2026-06-23 20:30:00+01:00,2026-06-23 21:00:00+01:00,2026-06-23,20,20:30:00
2026-06-23,2026-06-23 20:00:00+00:00,2026-06-23 20:30:00+00:00,221,225,high,2026-06-23 21:00:00+01:00,2026-06-23 21:30:00+01:00,2026-06-23,21,21:00:00
2026-06-23,2026-06-23 20:30:00+00:00,2026-06-23 21:00:00+00:00,222,226,high,2026-06-23 21:30:00+01:00,2026-06-23 22:00:00+01:00,2026-06-23,21,21:30:00
2026-06-23,2026-06-23 21:00:00+00:00,2026-06-23 21:30:00+00:00,225,223,high,2026-06-23 22:00:00+01:00,2026-06-23 22:30:00+01:00,2026-06-23,22,22:00:00
2026-06-23,2026-06-23 21:30:00+00:00,2026-06-23 22:00:00+00:00,224,224,high,2026-06-23 22:30:00+01:00,2026-06-23 23:00:00+01:00,2026-06-23,22,22:30:00
